year,benefit,cost
2017,31954205.6762,4320562.13277
2018,46945420.7851,4891571.26446
2019,51776127.5419,4109409.68879
2020,59422962.2009,4177240.47994
2021,67281860.595,4386000.58218
2022,75329308.4361,4690257.3389
2023,83159367.79,4964504.67204
2024,90865624.1352,5241744.34172
2025,98630951.9377,5557646.58202
2026,106165770.199,5835599.91483
2027,113586417.596,6106492.19675
2028,120858119.14,6366851.86467
2029,127960022.312,6617359.28019
2030,135217554.761,6916537.14614
2031,142083431.056,7152166.30303
2032,148961562.226,7424924.50808
2033,155450223.938,7638731.65082
2034,161683568.432,7837547.72923
2035,167178741.702,7950682.01116
2036,172597760.98,8104765.89201
