year,benefit,cost
2017,45441822.4699,4320562.13277
2018,61954570.9193,4891571.26446
2019,64332711.8923,4109409.68879
2020,72065973.0293,4177240.47994
2021,80484808.2606,4386000.58218
2022,89277626.1375,4690257.3389
2023,97837032.4502,4964504.67204
2024,106284024.505,5241744.34172
2025,114739037.764,5557646.58202
2026,122977642.386,5835599.91483
2027,131082387.084,6106492.19675
2028,139006599.259,6366851.86467
2029,146731933.236,6617359.28019
2030,154612966.615,6916537.14614
2031,162042513.061,7152166.30303
2032,169530224.253,7424924.50808
2033,176515193.006,7638731.65082
2034,183199692.053,7837547.72923
2035,189006883.864,7950682.01116
2036,194795621.457,8104765.89201
