year,benefit,cost
2017,54433566.999,4320562.13277
2018,71960671.0088,4891571.26446
2019,72703768.1259,4109409.68879
2020,80494646.9148,4177240.47994
2021,89286773.371,4386000.58218
2022,98576504.6052,4690257.3389
2023,107622142.224,4964504.67204
2024,116562958.084,5241744.34172
2025,125477761.648,5557646.58202
2026,134185557.177,5835599.91483
2027,142746366.743,6106492.19675
2028,151105586.004,6366851.86467
2029,159246540.52,6617359.28019
2030,167543241.184,6916537.14614
2031,175348567.732,7152166.30303
2032,183242665.605,7424924.50808
2033,190558505.717,7638731.65082
2034,197543774.466,7837547.72923
2035,203558978.639,7950682.01116
2036,209594195.108,8104765.89201
