year,benefit,cost
2017,6716647.07433,553716.189457
2018,13605261.1196,1128699.50895
2019,36645921.3408,3776295.31157
2020,59098712.6335,6389207.44128
2021,71437603.49,7839472.12768
2022,71408259.0547,7861368.4316
2023,71379953.5609,7881746.48249
2024,71351214.6605,7900594.21374
2025,71317469.5667,7923753.78459
2026,71287385.5429,7945547.39671
2027,71218772.5514,7961742.59537
2028,71156295.2445,7977070.15614
2029,71099499.7522,7991626.56015
2030,71053809.2069,8009910.72514
2031,71005483.5407,8026291.58501
2032,70956989.293,8041806.72471
2033,70913596.7776,8056497.34734
2034,70874501.5624,8070498.32206
2035,70869920.8507,8083838.61971
2036,70867824.0693,8096187.07299
