year,benefit,cost
2017,40945950.2053,4320562.13277
2018,56951520.8746,4891571.26446
2019,60147183.7755,4109409.68879
2020,67851636.0865,4177240.47994
2021,76083825.7054,4386000.58218
2022,84628186.9037,4690257.3389
2023,92944477.5634,4964504.67204
2024,101144557.715,5241744.34172
2025,109369675.822,5557646.58202
2026,117373684.99,5835599.91483
2027,125250397.255,6106492.19675
2028,132957105.886,6366851.86467
2029,140474629.595,6617359.28019
2030,148147829.33,6916537.14614
2031,155389485.726,7152166.30303
2032,162674003.577,7424924.50808
2033,169493536.65,7638731.65082
2034,176027650.846,7837547.72923
2035,181730836.477,7950682.01116
2036,187396334.632,8104765.89201
