year,benefit,cost
2017,6687102.86962,553716.189457
2018,13542385.8339,1128699.50895
2019,36413309.6714,3776295.31157
2020,58639485.6477,6389207.44128
2021,70798756.24,7839472.12768
2022,70681345.1103,7861368.4316
2023,70571213.5757,7881746.48249
2024,70466302.4521,7900594.21374
2025,70339346.9668,7923753.78459
2026,70222330.3881,7945547.39671
2027,70075103.1983,7961742.59537
2028,69939212.6034,7977070.15614
2029,69813693.118,7991626.56015
2030,69689763.904,8009910.72514
2031,69569159.2114,8026291.58501
2032,69453334.9914,8041806.72471
2033,69347177.3668,8056497.34734
2034,69249114.9448,8070498.32206
2035,69199364.7289,8083838.61971
2036,69156412.8937,8096187.07299
