year,benefit,cost
2017,54736754.19,4320562.13277
2018,72607178.5534,4891571.26446
2019,73359659.6486,4109409.68879
2020,81302482.1139,4177240.47994
2021,90224822.0019,4386000.58218
2022,99739383.5201,4690257.3389
2023,108945120.881,4964504.67204
2024,118043477.731,5241744.34172
2025,127267766.421,5557646.58202
2026,136166886.184,5835599.91483
2027,144914677.549,6106492.19675
2028,153460229.335,6366851.86467
2029,161784977.371,6617359.28019
2030,170401985.072,6916537.14614
2031,178400105.74,7152166.30303
2032,186550355.22,7424924.50808
2033,194057264.974,7638731.65082
2034,201230413.228,7837547.72923
2035,207316405.867,7950682.01116
2036,213483637.389,8104765.89201
