year,benefit,cost
2017,40885312.7671,4320562.13277
2018,56822219.3657,4891571.26446
2019,60016005.471,4109409.68879
2020,67690069.0467,4177240.47994
2021,75896215.9792,4386000.58218
2022,84395611.1207,4690257.3389
2023,92679881.8321,4964504.67204
2024,100848453.786,5241744.34172
2025,109011674.867,5557646.58202
2026,116977419.189,5835599.91483
2027,124816735.094,6106492.19675
2028,132486177.219,6366851.86467
2029,139966942.225,6617359.28019
2030,147576080.553,6916537.14614
2031,154779178.124,7152166.30303
2032,162012465.655,7424924.50808
2033,168793784.798,7638731.65082
2034,175290323.093,7837547.72923
2035,180979351.031,7950682.01116
2036,186618446.175,8104765.89201
