year,benefit,cost
2017,31651018.4852,4320562.13277
2018,46298913.2406,4891571.26446
2019,51120236.0193,4109409.68879
2020,58615127.0019,4177240.47994
2021,66343811.9641,4386000.58218
2022,74166429.5212,4690257.3389
2023,81836389.133,4964504.67204
2024,89385104.4888,5241744.34172
2025,96840947.1643,5557646.58202
2026,104184441.192,5835599.91483
2027,111418106.79,6106492.19675
2028,118503475.809,6366851.86467
2029,125421585.461,6617359.28019
2030,132358810.873,6916537.14614
2031,139031893.047,7152166.30303
2032,145653872.611,7424924.50808
2033,151951464.682,7638731.65082
2034,157996929.67,7837547.72923
2035,163421314.473,7950682.01116
2036,168708318.7,8104765.89201
