year,benefit,cost
2017,5590755.09912,415287.142093
2018,11329675.9611,846524.631716
2019,31142704.4023,2832221.48368
2020,50438426.3539,4791905.58096
2021,61018002.2293,5879604.09576
2022,60954607.1688,5896026.3237
2023,60894902.9697,5911309.86187
2024,60837347.5151,5925445.6603
2025,60768123.7129,5942815.33844
2026,60704794.4049,5959160.54753
2027,60612330.5884,5971306.94653
2028,60527395.2353,5982802.61711
2029,60449375.008,5993719.92011
2030,60376744.2454,6007433.04386
2031,60304446.1702,6019718.68876
2032,60234529.144,6031355.04353
2033,60170952.9948,6042373.01051
2034,60112693.1198,6052873.74155
2035,60089918.7396,6062878.96478
2036,60071132.54,6072140.30474
