year,benefit,cost
2017,3596257.13847,222794.706052
2018,7246674.71417,451440.808398
2019,29087440.452,2649244.1125
2020,51967264.1819,4998970.39436
2021,73406580.9543,7215839.67372
2022,79546377.1169,7876715.00748
2023,79476985.7384,7898174.32652
2024,79409323.4787,7917931.30411
2025,79323517.268,7942052.71102
2026,79244884.7423,7964676.73867
2027,79116060.3358,7980429.93128
2028,78997349.937,7995267.15528
2029,78887944.0751,8009290.48005
2030,78783754.2145,8027098.59335
2031,78680233.8234,8042949.8379
2032,78586138.5167,8057411.58589
2033,78501109.1484,8071087.34304
2034,78423731.8979,8084111.93972
2035,78392803.1803,8096493.61988
2036,78367880.0074,8107898.66723
