year,benefit,cost
2017,7158534.10738,763994.054958
2018,14236359.5528,1526657.54674
2019,19745755.3539,2124036.49641
2020,19754148.3854,2132600.46726
2021,19763009.0825,2140588.61936
2022,19745925.3112,2147245.44193
2023,19729690.0298,2153372.99359
2024,19713790.5708,2158987.82414
2025,19693307.8039,2165723.81139
2026,19674578.9781,2172022.17272
2027,19640505.6898,2176188.99695
2028,19609150.541,2180094.75951
2029,19580293.9112,2183768.66498
2030,19553304.62,2188406.28693
2031,19526437.0828,2192506.93464
2032,19499764.1356,2196257.68375
2033,19475623.8672,2199801.59557
2034,19453615.3137,2203176.42779
2035,19444541.9586,2206342.05397
2036,19437049.0231,2209258.19846
