year,benefit,cost
2017,7454340.13216,553716.189457
2018,15106234.6148,1128699.50895
2019,41523605.8698,3776295.31157
2020,67251235.1386,6389207.44128
2021,81357336.3057,7839472.12768
2022,81272809.5584,7861368.4316
2023,81193203.9597,7881746.48249
2024,81116463.3535,7900594.21374
2025,81024164.9506,7923753.78459
2026,80939725.8732,7945547.39671
2027,80816440.7845,7961742.59537
2028,80703193.6471,7977070.15614
2029,80599166.6774,7991626.56015
2030,80502325.6605,8009910.72514
2031,80405928.227,8026291.58501
2032,80312705.5254,8041806.72471
2033,80227937.3264,8056497.34734
2034,80150257.4931,8070498.32206
2035,80119891.6527,8083838.61971
2036,80094843.3867,8096187.07299
