year,benefit,cost
2017,44379491.6826,4057849.40905
2018,55388280.7167,4608234.86265
2019,52703506.0236,3882709.23542
2020,56858922.1919,3953443.06348
2021,62085119.8984,4155937.45795
2022,67886528.3443,4447137.83033
2023,73481130.5941,4710497.16357
2024,79034999.1504,4976492.21746
2025,84663992.8797,5279803.53823
2026,90088947.8289,5546647.30772
2027,95411456.0383,5806549.39679
2028,100593036.482,6056751.24904
2029,105626595.767,6297625.81027
2030,110874629.297,6585287.08955
2031,115674674.381,6812015.29028
2032,120639849.952,7074012.94133
2033,125109223.449,7280318.28103
2034,129353680.52,7472418.01928
2035,132822094.251,7583367.05658
2036,136433865.431,7732760.6635
