year,benefit,cost
2017,42008280.9926,4583274.85649
2018,63517811.0772,5174907.66627
2019,71776389.6443,4336110.14215
2020,83058686.9239,4401037.89641
2021,94483514.0675,4616063.70642
2022,106019284.697,4933376.84747
2023,117300379.42,5218512.18051
2024,128393583.069,5506996.46599
2025,139444720.706,5835489.62581
2026,150262379.547,6124552.52194
2027,160921328.301,6406434.99672
2028,171370668.663,6676952.4803
2029,181579967.065,6937092.75011
2030,191886166.648,7247787.20273
2031,201757324.406,7492317.31577
2032,211564377.879,7775836.07484
2033,220899506.206,7997145.0206
2034,229873662.378,8202677.43919
2035,237915626.09,8317996.96574
2036,245758090.658,8476771.12053
