year,benefit,cost
2017,42956765.2686,4373104.67751
2018,60265998.933,4948238.54482
2019,64147236.196,4154749.77946
2020,72578781.0311,4221999.96324
2021,81524156.3999,4432013.20703
2022,90766182.1559,4738881.24062
2023,99772679.8894,5015306.17373
2024,108650149.502,5294794.76658
2025,117532429.575,5613215.19078
2026,126193006.86,5893390.43625
2027,134717379.396,6166480.75674
2028,143059615.79,6428871.98779
2029,151198618.545,6681305.97417
2030,159481551.708,6982787.15746
2031,167324264.396,7220196.50558
2032,175194566.708,7495106.82144
2033,182583393.103,7710414.32477
2034,189665669.635,7910573.67122
2035,195878213.354,8024145.00207
2036,202028400.567,8179166.93772
