year,benefit,cost
2017,43431007.4066,4268019.58802
2018,58640092.8609,4834903.9841
2019,60332659.4719,4064069.59811
2020,67338828.0847,4132480.99665
2021,75044477.5661,4339987.95734
2022,83139630.8854,4641633.43719
2023,91008830.1243,4913703.17035
2024,98778432.7179,5188693.91687
2025,106576284.01,5502077.97326
2026,114158320.516,5777809.39341
2027,121615404.943,6046503.63676
2028,128904089.354,6304831.74154
2029,136007944.286,6553412.58621
2030,143279244.237,6850287.13482
2031,150107734.391,7084136.10048
2032,157009661.123,7354742.19473
2033,163425336.552,7567048.97686
2034,169561673.263,7764521.78724
2035,174859506.986,7877219.02024
2036,180163555.522,8030364.84631
