year,benefit,cost
2017,7095685.4195,541415.688251
2018,14394498.2373,1103610.65031
2019,41130685.1298,3672319.14501
2020,67202698.3499,6207618.15932
2021,81496315.1106,7615362.2741
2022,81410622.1206,7637190.46907
2023,81330143.7525,7657492.26182
2024,81252757.1096,7676259.10021
2025,81159637.0807,7699326.16509
2026,81074530.2203,7721026.89206
2027,80951336.4077,7737109.20835
2028,80838274.6815,7752327.30811
2029,80734515.4927,7766777.83336
2030,80637822.4555,7784944.071
2031,80541659.8721,7801209.22334
2032,80449615.9104,7816561.1128
2033,80366053.5032,7831095.35471
2034,80289591.5989,7844946.84361
2035,80260416.4654,7858138.7253
2036,80236582.3504,7870343.28928
